,model,accuracy,precision,recall,f1_score,auroc
0,xgb-fingerprint,0.8672212978369385,0.7961252030067975,0.7259827814093996,0.7534294385757471,0.9669865726865148
1,xgb-fingerprint,0.8515806988352745,0.7068625673490075,0.6612298787543152,0.6773064912587369,0.9527838831211671
2,xgb-fingerprint,0.8552412645590682,0.7704355842524324,0.698952928859976,0.7197793765027068,0.9606297788341461
3,xgb-fingerprint,0.8615640599001664,0.8054510837662476,0.7004170123639588,0.7313489496005399,0.9650802126426523
4,xgb-fingerprint,0.8605657237936772,0.8103619955799793,0.7224689019596445,0.7540112438873624,0.9610484540298065
5,xgb-fingerprint,0.8602329450915142,0.7213657753270493,0.6799714821568106,0.6941056801933284,0.9668990727708555
6,xgb-fingerprint,0.8582362728785358,0.800666203636623,0.7179929666854505,0.7475339641994486,0.9629219250357279
7,xgb-fingerprint,0.8682196339434276,0.7416065179680101,0.7343081030267686,0.7373139304575603,0.9655809448450302
8,xgb-fingerprint,0.8532445923460898,0.7374173920862857,0.6308136484230186,0.6454248883270409,0.9538013092475655
9,xgb-fingerprint,0.8529118136439268,0.8372096138878238,0.7262625658801509,0.7591900289037721,0.9666096102846067
10,xgb-fingerprint,0.853910149750416,0.6823252095143137,0.6821795862401565,0.6783900075777075,0.9604263860770448
11,xgb-fingerprint,0.8579034941763727,0.7973319623439912,0.6756723469563776,0.7041332099702661,0.9662090511827056
12,xgb-fingerprint,0.853910149750416,0.7171235221909902,0.6716533450073978,0.6881659085100457,0.9517851216682963
13,xgb-fingerprint,0.8585690515806988,0.8173615784113716,0.7664117042821827,0.7883089779508448,0.9689181896861931
14,xgb-fingerprint,0.8472545757071548,0.7444031697502759,0.679325028179602,0.6957502793751745,0.9600988137073502
15,xgb-fingerprint,0.8599001663893511,0.8014059204472723,0.7026320488193741,0.7318966405897852,0.9674282995522931
16,xgb-fingerprint,0.8625623960066556,0.7769852239843157,0.7390384578566307,0.7551802707960984,0.9641316946192016
17,xgb-fingerprint,0.8529118136439268,0.7996208048224177,0.7048808058734441,0.731239460320108,0.956244776919322
18,xgb-fingerprint,0.8529118136439268,0.7523077909219289,0.6906649606701682,0.7102047959534057,0.9623179513839197
19,xgb-fingerprint,0.8652246256239601,0.7829297453157554,0.7234423825113256,0.7467328599383329,0.952504167931101
20,xgb-fingerprint,0.8585690515806988,0.785540537124724,0.7063836231114577,0.734439063872492,0.965855915794793
21,xgb-fingerprint,0.8572379367720466,0.7697991769922277,0.689019503903041,0.7113813383406228,0.9557999813931268
22,xgb-fingerprint,0.8608985024958402,0.7619398716432471,0.6928192269357144,0.715735566471307,0.954501536233791
23,xgb-fingerprint,0.859567387687188,0.7240119764589796,0.7130105595755982,0.7175173201665112,0.963517565164603
24,xgb-fingerprint,0.8622296173044925,0.8452307118083618,0.7381367355187164,0.7738675851257047,0.9667673428759225
