,model,accuracy,precision,recall,f1_score,auroc
0,zimmermann-augmented,0.8745424292845257,0.7660419465093214,0.7512416176026658,0.7573744156006075,0.9710988059506004
1,zimmermann-augmented,0.8562396006655574,0.737504592612222,0.6995586967718607,0.7145261866740851,0.9640901941911917
2,zimmermann-augmented,0.864891846921797,0.8058514112954939,0.7099894951250584,0.7360596153584555,0.9663061354136305
3,zimmermann-augmented,0.8645590682196339,0.8431193010177035,0.7554547030420656,0.7877839169966883,0.968313622016175
4,zimmermann-augmented,0.8718801996672213,0.8570047249226371,0.7309543274965933,0.7728775538559555,0.9650052677695259
5,zimmermann-augmented,0.8682196339434276,0.7265000596633396,0.7013698445689809,0.7123417867497006,0.9695477242685602
6,zimmermann-augmented,0.8579034941763727,0.7604651424477181,0.735136921184967,0.7457414849180405,0.971363503270597
7,zimmermann-augmented,0.8732113144758735,0.7342727142798637,0.747891135051905,0.7403190674084013,0.968937642865809
8,zimmermann-augmented,0.8675540765391015,0.761730304797993,0.6967223650436767,0.7186179634196227,0.9616601774779667
9,zimmermann-augmented,0.8622296173044925,0.8029332016940869,0.7834739423062829,0.791914673519468,0.968121679339186
10,zimmermann-augmented,0.8675540765391015,0.7253145116193851,0.7699586923291601,0.739965858596402,0.9721676968087841
11,zimmermann-augmented,0.8682196339434276,0.8205587763595202,0.7083358709102718,0.7426201283890546,0.9709036139764476
12,zimmermann-augmented,0.8638935108153079,0.7248275611362134,0.7070175529764121,0.7153826865966452,0.953436519845606
13,zimmermann-augmented,0.8665557404326123,0.8101235243150132,0.7912363234470848,0.7999631753755291,0.9707853110471
14,zimmermann-augmented,0.8575707154742096,0.7887972739334969,0.7137541231209974,0.7357739840217996,0.9631858602808304
15,zimmermann-augmented,0.8695507487520798,0.7731632690396746,0.7325697760813747,0.7480622062501256,0.9692759398515912
16,zimmermann-augmented,0.8655574043261232,0.7940334313324722,0.7225880623759103,0.7503012272558662,0.967856075958035
17,zimmermann-augmented,0.8685524126455907,0.7688479816391522,0.7416235664910082,0.7520430440773586,0.9676501154131382
18,zimmermann-augmented,0.8569051580698835,0.7486193106904093,0.7355562578237257,0.7406956051579268,0.9606589555384094
19,zimmermann-augmented,0.8712146422628951,0.7651023433679067,0.7516006135092199,0.7574258282966643,0.9603655499772058
20,zimmermann-augmented,0.8662229617304492,0.7653715710522836,0.7517414973252036,0.7575187733404499,0.9699656960654635
21,zimmermann-augmented,0.8645590682196339,0.7199722919946173,0.6837585934845645,0.6958344380245506,0.9662520910583547
22,zimmermann-augmented,0.8592346089850249,0.7254278858135328,0.69058663983947,0.7051587420175713,0.9568587782023172
23,zimmermann-augmented,0.876206322795341,0.7135616867587113,0.7339115775397098,0.7193456847149258,0.971991624679364
24,zimmermann-augmented,0.8692179700499169,0.8176464549973342,0.7492774406213443,0.7759233223386909,0.9696688390915437
