,model,accuracy,precision,recall,f1_score,auroc
0,zimmermann,0.8482529118136439,0.7283950024158256,0.6930818832453104,0.7089369551477703,0.9560116018622683
1,zimmermann,0.8465890183028286,0.6588224381473143,0.6346410408598852,0.6430001384607936,0.9560371132798124
2,zimmermann,0.8435940099833611,0.6951217444506509,0.6473494485645591,0.6652133118261553,0.9552322642403597
3,zimmermann,0.8535773710482529,0.8372510501626348,0.738688639833516,0.7757907495126315,0.9620603391296095
4,zimmermann,0.8545757071547421,0.7546544605418829,0.6888491192595632,0.7154351427603906,0.9532141931451357
5,zimmermann,0.8502495840266223,0.7034794038308817,0.6562572873230542,0.6764270105864805,0.9504379627063809
6,zimmermann,0.853910149750416,0.74460115883683,0.7126804184673958,0.7243043447031805,0.9617816205086717
7,zimmermann,0.8602329450915142,0.7007005545265013,0.6563039851447485,0.6749963841879464,0.9548995710590258
8,zimmermann,0.8372712146422628,0.7036523692642735,0.6322760943121027,0.6559510489898235,0.9433925619386475
9,zimmermann,0.8525790349417637,0.8347035465528092,0.7469618218808722,0.7789994815203509,0.9548496568415381
10,zimmermann,0.8555740432612313,0.7422194227501052,0.7836935015636792,0.755640566506855,0.9679580720709187
11,zimmermann,0.8439267886855242,0.79149829663429,0.6471282856536955,0.6865648977609174,0.9611259595053723
12,zimmermann,0.8505823627287854,0.6945509159876352,0.6997348619022793,0.6966397036217311,0.9477586575335293
13,zimmermann,0.8499168053244592,0.7673002908053151,0.7698619963211047,0.7678017618221179,0.96270849996945
14,zimmermann,0.843261231281198,0.7224876082538264,0.6698501593840324,0.6838147274429571,0.9521904458811064
15,zimmermann,0.8585690515806988,0.7941949728399871,0.7021964483289702,0.7283718209691832,0.9573897953299907
16,zimmermann,0.8512479201331115,0.7811577723476077,0.7155722336862842,0.7438258121821228,0.9583720707115377
17,zimmermann,0.8549084858569052,0.7419333993944178,0.7047106487053858,0.7213540469218563,0.9574129252166571
18,zimmermann,0.8465890183028286,0.7522930616781449,0.7016921111283422,0.7195694731835067,0.9570566346068778
19,zimmermann,0.8602329450915142,0.7499438783306831,0.7230111849587143,0.7346763443881461,0.9522252470375845
20,zimmermann,0.8512479201331115,0.7996332458455234,0.6933220596669745,0.7293071536567934,0.9568517800755348
21,zimmermann,0.8512479201331115,0.7537374735049154,0.6841311597523797,0.7013374325176044,0.9560914787128052
22,zimmermann,0.8515806988352745,0.7414460670196167,0.6532626427338639,0.6832125023435696,0.9541474184915797
23,zimmermann,0.8495840266222962,0.7403091478432033,0.7285523310685369,0.734239538903908,0.958255492354715
24,zimmermann,0.854242928452579,0.7872506235420172,0.7176509261539629,0.7394775500801323,0.9584305580319242
