,model,accuracy,precision,recall,f1_score,auroc
0,balancedforest,0.7606084867894315,0.4295774976097677,0.6207452786033837,0.4422246999253498,0.9130745510550374
1,balancedforest,0.7689227072486985,0.45386243235095847,0.7435592995087517,0.4643770377857731,0.9344634825287024
2,balancedforest,0.776531838205847,0.4632686474665356,0.7216722587885849,0.47950340685535753,0.9292909375784513
3,balancedforest,0.7929515418502202,0.46096079956316033,0.7858096028547588,0.49444818904973786,0.9307407321489377
4,balancedforest,0.7945534641569884,0.4571502236317314,0.8086005214343144,0.47679092891994906,0.9478466645989123
5,balancedforest,0.7738190552441954,0.4320372423247731,0.8153925619834711,0.450333361321346,0.9446460031675082
6,balancedforest,0.7817380857028434,0.45057179235330497,0.661121472909002,0.4703993286430648,0.9244112765769253
7,balancedforest,0.7697236684020825,0.43727858379590634,0.6356458189569214,0.4544536409623842,0.9125588631138957
8,balancedforest,0.7813376051261514,0.45710963636938845,0.8371260868043577,0.4853426177404444,0.9456493585309707
9,balancedforest,0.7809371245494594,0.45634569711910433,0.7023769153757925,0.48076839062346843,0.924303393272447
10,balancedforest,0.7774219375500401,0.4515041129471712,0.7422446023990947,0.46638886555902326,0.9366252126120003
11,balancedforest,0.7909491389667601,0.44740633932281393,0.7747806339406832,0.4706544909024572,0.942626950510095
12,balancedforest,0.7737284741690028,0.4533546671378397,0.6545933009679532,0.4712394636315519,0.8991167212499203
13,balancedforest,0.7853424108930717,0.4658733454230767,0.7597627728206726,0.4916831778641189,0.9345215226011365
14,balancedforest,0.7873448137765319,0.4608784759988578,0.7610927336675715,0.4868494553068987,0.9436330124809924
15,balancedforest,0.7850280224179343,0.4565358944310002,0.7493002070435295,0.483509010067751,0.9175866488286901
16,balancedforest,0.7877452943532238,0.45625832146969036,0.6660282680249128,0.4686818718549188,0.9215636607928568
17,balancedforest,0.7769323187825391,0.4546682943670358,0.7177438585144673,0.4777062949991013,0.9349505945590767
18,balancedforest,0.762915498598318,0.43347562268597556,0.6772335537774127,0.4561929070618619,0.9171576062960645
19,balancedforest,0.7701241489787746,0.4543349686879502,0.7239260176140903,0.4778321638141346,0.9411427326966063
20,balancedforest,0.7822257806244995,0.44609584460258167,0.6670865857964733,0.46642773045406666,0.8984042592937469
21,balancedforest,0.7729275130156188,0.4656961218813902,0.738612767645211,0.4877802617494883,0.9290869421830275
22,balancedforest,0.7657188626351622,0.4421513975164021,0.7931620349724754,0.46389217113804815,0.943071692634828
23,balancedforest,0.7805366439727673,0.464398935830631,0.7899576409936019,0.4773242352106294,0.9404246580497013
24,balancedforest,0.7845414497396876,0.4430656960753486,0.7230973636982401,0.4624217462276756,0.9259230385147538
