,model,accuracy,precision,recall,f1_score,auroc
0,xgb-fingerprint,0.8911128903122498,0.7449883685990947,0.5853487026702114,0.6257032571518668,0.960130052113168
1,xgb-fingerprint,0.8970764917901481,0.7593220214744577,0.5642117047695498,0.6081833682746465,0.9775097610068437
2,xgb-fingerprint,0.9010812975570685,0.7040015273690592,0.6078863712120535,0.6425052613230549,0.9720684018235213
3,xgb-fingerprint,0.9062875450540648,0.9147224473981812,0.6926703002112664,0.7460155918351858,0.9830501494249664
4,xgb-fingerprint,0.89547456948338,0.7066258087105574,0.5892448362312263,0.6293081485638485,0.9831628922214556
5,xgb-fingerprint,0.9023218574859888,0.70814348611092,0.6914247368792823,0.698504055461074,0.9771350347538925
6,xgb-fingerprint,0.8994793752503003,0.5781894991589971,0.5381301547396764,0.5533630253151408,0.9602505676254609
7,xgb-fingerprint,0.8978774529435323,0.9063054187192117,0.5954024090269658,0.6598476716015635,0.9638173369826479
8,xgb-fingerprint,0.8942731277533039,0.70387723957651,0.6213854349467285,0.6533678695191517,0.982659840743039
9,xgb-fingerprint,0.9022827392871445,0.7564832903194972,0.5804087260610127,0.6237392383804837,0.9716528293601636
10,xgb-fingerprint,0.899919935948759,0.8661692203876316,0.6256529195953877,0.6741179647914606,0.9796873267825165
11,xgb-fingerprint,0.9126952342811374,0.5117564152827243,0.5098526903717426,0.5100319013230281,0.9806773079676745
12,xgb-fingerprint,0.9050861033239888,0.762346569369847,0.6154302887689658,0.6544483187122261,0.9614400007898858
13,xgb-fingerprint,0.8970764917901481,0.9053269670067815,0.6299882773441658,0.6842494553610149,0.9727057220541118
14,xgb-fingerprint,0.8882659191029235,0.7697588240843448,0.6475871869118743,0.6899094878149581,0.9742065620127096
15,xgb-fingerprint,0.88871096877502,0.8285188573003273,0.6901039832370806,0.7436742787005652,0.9652361078678144
16,xgb-fingerprint,0.9090909090909091,0.9137168820440195,0.6164632656978017,0.6794214492666167,0.9742335411014285
17,xgb-fingerprint,0.9054865839006808,0.9157774901519236,0.6030674764927919,0.6621579752751557,0.9780819443854831
18,xgb-fingerprint,0.8898678414096917,0.6986660181233442,0.5238886293372741,0.5509144105591026,0.9617810641045127
19,xgb-fingerprint,0.8886663996796156,0.6936151830511262,0.5335564149343074,0.5669825122161678,0.9682342040161164
20,xgb-fingerprint,0.9019215372297839,0.711002756474514,0.577707673170444,0.6144333859604696,0.9595097691410066
21,xgb-fingerprint,0.8890668802563075,0.7029282973224112,0.5414882571513275,0.5762946220215674,0.9700535726875286
22,xgb-fingerprint,0.9054865839006808,0.8117606023994732,0.6967743680311593,0.7406221317159909,0.9785183001614737
23,xgb-fingerprint,0.8934721665999199,0.7847915847859632,0.6749815160627259,0.7065355610430695,0.982667197662402
24,xgb-fingerprint,0.9010812975570685,0.6046743506558107,0.5313630916498514,0.5501957103180954,0.9704535683258578
