,model,accuracy,precision,recall,f1_score,auroc
0,zimmermann-augmented,0.8875100080064051,0.7160396356492896,0.6213123926415349,0.6495074585581354,0.9671702619029874
1,zimmermann-augmented,0.8978774529435323,0.6549790688618746,0.6534676847699721,0.6540488457892081,0.9743049840939424
2,zimmermann-augmented,0.8994793752503003,0.7101828426739886,0.670939847917444,0.68792663080009,0.9731697378827338
3,zimmermann-augmented,0.9026832198638366,0.7409273714315299,0.7700220143093011,0.7316982223190742,0.979822388235738
4,zimmermann-augmented,0.8986784140969163,0.7186818614607429,0.6980876642984881,0.7058856764712402,0.9796650989627806
5,zimmermann-augmented,0.9015212169735789,0.7716346097288395,0.6747574988885149,0.6511119239585272,0.9830976106461062
6,zimmermann-augmented,0.894673608329996,0.7281034512100314,0.6586739423825818,0.6815663157173896,0.9741598265619803
7,zimmermann-augmented,0.8974769723668402,0.8276630969286491,0.6346392354764007,0.6852306252623974,0.9657989417124361
8,zimmermann-augmented,0.8930716860232278,0.7674943672312093,0.8107386269892457,0.7797095547194773,0.9789513767526339
9,zimmermann-augmented,0.8990788946736084,0.8376582262341901,0.5724213468012579,0.6290388550039203,0.9653639500110845
10,zimmermann-augmented,0.8963170536429144,0.7171481318004863,0.6988318665884667,0.7067683573967071,0.9781191952040216
11,zimmermann-augmented,0.9042851421706047,0.7042473968715643,0.5322676887450122,0.5531683534472215,0.9773319161424083
12,zimmermann-augmented,0.893872647176612,0.7345165550430874,0.6452960662060573,0.6756312684490486,0.9565151218864478
13,zimmermann-augmented,0.8942731277533039,0.8966826080205816,0.6279089829230651,0.6787831338919139,0.9703236975817596
14,zimmermann-augmented,0.8870644773728474,0.7005548929227379,0.7336184699548747,0.713670856682813,0.978035015157175
15,zimmermann-augmented,0.8927141713370697,0.7617743900098948,0.7216055356601853,0.7381971093832103,0.9759537140189571
16,zimmermann-augmented,0.895074088906688,0.7855207162891261,0.6380709483869371,0.6872554134686087,0.9646846747624422
17,zimmermann-augmented,0.9002803364036844,0.7958515012398253,0.7414062445278122,0.761027051405349,0.9802226674393794
18,zimmermann-augmented,0.8914697637164598,0.7191556463222739,0.6559569997838499,0.6760006973371995,0.9705613585840058
19,zimmermann-augmented,0.8910692831397677,0.7250065581282935,0.7495457219069452,0.7223776085271626,0.9790212071378648
20,zimmermann-augmented,0.9015212169735789,0.6734965432187037,0.6645850391929627,0.6662954031176672,0.9660661544038746
21,zimmermann-augmented,0.8882659191029235,0.6907018268418439,0.6940684168112823,0.692213516447042,0.9742122862194457
22,zimmermann-augmented,0.908289947937525,0.8096071869916844,0.7883437002030986,0.7962879155354676,0.9778794897000939
23,zimmermann-augmented,0.8974769723668402,0.7471965033182697,0.694567907285221,0.7174077372300359,0.9786279849379435
24,zimmermann-augmented,0.8990788946736084,0.5741882454550753,0.5550644136601667,0.5630445708086307,0.9764069135449475
